"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68"
"30","A30",5,5,5,5,5,5,5.03,5.2,5.29,5.34,5.4,5.3,5.36,5.5,5.57,5.6,5.61,5.7,5.8,5.9,6,6.01,6.17,6.1,6.16,6.3,6.4,6.4,6.58,6.6,6.6
"31","A31",5,5,5,5,5.09,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.27,5.3,5.21,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.3,5.36,5.3
"32","A32",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"33","A33",5,5,5,5,5,5,5.04,5.1,5.1,5.1,5.1,5.1,5.11,5.78,6,6,6,6,6,6,6,6.12,6.37,6.6,6.6,6.6,6.6,6.79,6.84,7,7
"34","A34",5,5,5,5,5,5,5,4.84,4.7,4.4,4.4,4.4,4.4,4.4,4.42,3.98,3.4,3.4,3.4,3.4,3.4,3.4,3.6,4,4,4,4,4,4,4,4
"35","A35",5,4.9,5.44,5.5,5.97,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6.06,6.28,6.56,7,7,7
"36","A36",5,3.91,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
"37","A37",5,5.01,5.18,5.2,5.4,5.4,5.4,5.4,5.3,5.43,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.8,5.8,5.8,5.8,5.8,5.8,5.9,5.9,6,6,6,6
"38","A38",5,5,5,5,5,4.6,4.43,4.6,5.28,5.4,5,5,5,5,5,5,5,5.14,5.33,5.92,5.62,5.6,5.4,4.31,3.48,3.2,3.2,3.2,3.2,3.2,3.2
"39","A39",5,5,5,5,5.08,5.58,6.02,6.1,6.1,6.31,6.5,6.54,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"40","A40",5,5,4.84,4.28,4.2,4.2,4.2,4.09,4,4,4,4.02,4.62,5.15,5.52,5.92,6.16,6.3,6.24,5.74,5.7,5.7,5.53,5.13,5.2,5.2,5.24,5.58,5.99,6.2,6.4
"41","A41",5,5,5.1,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.34,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.2,5.2,5.2,5.2
"42","A42",5,5.09,4.4,4.21,4.03,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.22,3.9,4.26,4.33,4.2,4.24,4.36,4.6,3.8,3.6,3.6,3.6,3.6,3.6
"43","A43",5,5,5,5.01,5.1,5.1,5.1,5.1,5.11,5.2,5.37,5.4,5.43,5.6,5.6,5.7,5.7,5.8,5.8,6,6.08,6.16,6.39,6.5,6.5,6.58,6.6,6.6,6.6,6.6,6.7
"44","A44",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.49,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
"45","A45",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.7,6,6,6,6,6,6,6,6,6,6,6,6,5.8,4.57,4.14,4.1
"46","A46",5,5,5,5,5,5,5,5,5,5,5,5,4.91,4.4,4.4,4.4,4.4,4.4,4.4,4.2,4.06,3.93,3.8,3.8,3.8,3.8,3.8,3.8,3.75,3.6,3.6
"47","A47",5,5,5,5,5.5,5.5,5.5,5.5,5.58,5.84,6,6,6,6,6,6,6,6,5.62,5.3,5.33,5.69,6.01,6.1,6.1,6.1,5.9,5.02,5,5,5
"48","A48",5,5,5,5,5,5,5,5,5,5,5,5,5,5.19,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3
"49","A49",5,4.65,2,2,2.86,7,7,7.31,8.1,8.1,8.1,5.36,3.09,6.12,6.17,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,5.23
