"","ID","V8","V10","V12","V14","V16","V18","V20","V22","V24","V26","V28","V30","V32","V34","V36","V38","V40","V42","V44","V46","V48","V50","V52","V54","V56","V58","V60","V62","V64","V66","V68","V70","V72","V74","V76","V78","V80","V82","V84"
"85","A85",5,5.23,5.71,6,6.19,6.9,7,7,7,7,7,7.63,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7.7,7.12,7,7,7,7.36,7.97,8,8,8,8,8
"86","A86",5,5,5,5,5,5.1,5.38,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.52,6.8,6.8,6.8,6.8,6.8
"87","A87",5,5,5,5.18,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.34,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.62,5.8,5.9,5.9,6,6,6,6,6,6
"88","A88",5,5,5.98,7.2,8,8.03,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"89","A89",5,5,5,5,5,5.54,5.7,5.7,5.7,5.7,6.24,6.3,6.3,6.3,6.3,6.13,5.92,5.7,5.7,5.4,5.03,5,5.22,5.5,5.5,5.5,5.5,5.5,5.77,5.9,5.6,5,4.7,4.7,4.7,4.7,4.7,5.09,5.4
"90","A90",5,5,5,5,5,5,5,5,5,5,5,4.7,4.7,4.7,4.7,4.7,4.6,4.6,4.6,4.57,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.24,4.09,4,4,4,4,3.9
"91","A91",5,5.93,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.26,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8
"92","A92",5,5.1,5.19,5.49,5.6,5.6,5.6,5.6,5.6,5.7,5.8,5.8,5.8,5.9,5.9,5.99,6,6,6,6,6,6,6,6.07,6.27,6.6,6.5,6.5,6.5,6.5,6.68,6.7,6.7,6.7,6.7,6.7,6.7,6.7,6.7
"93","A93",5,5,5,5,5,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.05,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.43,4.69,5.49,5.5,5.5,5.5,5.5,5.5,5.5
"94","A94",5,5,5,5.2,5.2,5.2,5.28,5.3,5.3,5.37,5.4,5.4,5.49,5.7,6,6,5.76,5.5,5.5,5.5,5.5,5.6,5.7,5.78,6,6,6,6.04,6.19,6.3,6.18,6.1,6.2,6.2,6.2,6.23,6.3,6.1,6.1
"95","A95",5,5.02,6.42,6.5,6.5,6.46,6.2,6.2,6.81,7.2,7.2,7.2,7.2,7.2,7.2,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3
"96","A96",5,5,6.07,6.2,6.2,6.78,7.17,7.5,7.5,8.22,8.7,8.7,8.7,8.7,8.93,9,9,9,9,9,8.51,7,7,7,7,7,7,7,7,7.03,7.44,7.5,7.5,7.9,8,8,8,8,8
"97","A97",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.94,4.51,4.5,4.5,4.5,4.68,4.7,4.7,4.8,4.8,4.8,4.67,4.33,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
"98","A98",5,6.42,7.58,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8.57,8.2,8.2,8.2,8.64,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"99","A99",5,5,5,5,4.86,5,5,5,5,5,5,5.01,5.1,5.46,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.2,5.2,5.2,5.2,5.2,5.2,4.71,4.7,5.13,5.2,4.99,4.7
"100","A100",5,2.23,1,1.18,2.6,3.51,5.38,5.3,4.69,2.24,3.4,3.01,3,3,3,2.94,2.87,2.33,2.3,2.36,1.92,1.87,1.86,1.8,1.8,1.8,1.8,1.8,1.8,1.73,1,1,1,1,1,1,1.02,3.5,3.5
"101","A101",5,5,5,5,5,5,5,5,5,5,5,5,5.07,6.1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"102","A102",5,5,5.12,5.2,5.2,5.2,5.2,5.29,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.6,6.07,6.5,6.5,6.5,6.5,6.41,6.41,6.4,6.4,6.42,6.5,6.5,6.5,6.59,6.6,6.6
"103","A103",5,5.51,6.18,6.59,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.77,6.7,6.6,6.7,6.7,7.06,6.76,7.12,7.2,7.2,7.06,7,7,7,7.38,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4
"104","A104",5,5,5.48,5.66,6,6,6,6,6,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.27,6.5,6.13,6.2,6.2,6.2,6.48,6.5,6.67,7.09,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.7,7.7
"105","A105",5,5.06,5.6,6,6,6.07,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.62,6.71,7.02,7.32,7.37,6.61,4.52,3.78,3.7,3.61,3.6,3.46,3.4,3.28,3.2,3.2,3.19,2.14,2,2,2,2,2,4.74,5.5
"106","A106",5,5,5.44,6.7,7,7,7.33,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.57,8,8,8,8,8,8,8,8,8,8,8,8,8.2,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4
